batch_id,pair_id,repeat_id,user_profile,room_id,room_type,member_count,crypto_mode,room_creation_ms,add_members_ms,session_setup_ms,message_encrypt_ms,message_encrypt_pure_ms,message_decrypt_ms,total_setup_ms,setup_time_ms,rotation_time_ms,encrypt_steady_state_ms,device_type,architecture,cpu_cores,cpu_freq_mhz,rotation_policy,actual_rotations,kem_handshake_bytes,olm_session_bytes,megolm_session_bytes,message_overhead_bytes,total_bandwidth_bytes,num_ratchet_advances,num_asymmetric_advances,num_rotation_messages,bandwidth_agreement,bandwidth_agreement_classical,bandwidth_agreement_pqc,bandwidth_initial_distribution,bandwidth_initial_distribution_classical,bandwidth_initial_distribution_pqc,bandwidth_rotation,bandwidth_rotation_classical,bandwidth_rotation_pqc,bandwidth_megolm_messages,bandwidth_control_plane,bandwidth_data_plane,bandwidth_agreement_primitives_identity_keys,bandwidth_agreement_primitives_otk,bandwidth_agreement_primitives_kyber1024,bandwidth_agreement_primitives_prekey_overhead,bandwidth_initial_distribution_primitives_megolm_key,bandwidth_initial_distribution_primitives_ratchet_key,bandwidth_initial_distribution_primitives_kem_ct,bandwidth_initial_distribution_primitives_olm_overhead,bandwidth_rotation_primitives_megolm_key,bandwidth_rotation_primitives_ratchet_key,bandwidth_rotation_primitives_kem_ct,bandwidth_rotation_primitives_olm_overhead
20260201_124053,pair_0,1,@alice:matrix.org,!medium_2:matrix.org,MediumGroup,25,Hybrid,0.000474,3.9734260000000003,30.707321999999998,1.423658541,1.2882669820000001,0.583773286,34.681222,30.707321999999998,184.45732100000006,1.2882669820000001,Desktop,x86_64,8,399,Paranoid,40,150012,56064,2242560,259748968,524395208,984,960,960,64418,2649,61768,56064,11952,29448,2242560,478080,1177920,259748968,2413992,259748968,1536,768,53712,8402,7392,29256,0,19416,295680,1170240,0,776640
20260201_124053,pair_0,1,@alice:matrix.org,!large:matrix.org,LargeChannel,150,Hybrid,0.000444,27.625317,279.188542,3.0807529760000003,2.0069394744,0.91793306,306.814303,279.188542,1424.7318559999978,2.0069394744,Desktop,x86_64,8,3611,Paranoid,50,931356,348064,17403200,523157492,1083680224,7599,7450,7450,399930,16449,383480,348064,74202,182823,17403200,3710100,9141150,523157492,18467507,523157492,9536,4768,333462,52164,45892,181631,0,120541,2294600,9081550,0,6027050
20260201_124053,pair_1,1,@alice:matrix.org,!dm_1:matrix.org,DM,2,Hybrid,0.000381,0.346901,1.5574899999999998,0.26984678,0.25079003,0.132292654,1.904772,1.5574899999999998,5.650469,0.25079003,Desktop,x86_64,8,1513,Paranoid,20,6253,2336,46720,22927964,45966546,21,20,20,2684,110,2573,2336,498,1227,46720,9960,24540,22927964,53864,22927964,64,32,2238,350,308,1219,0,809,6160,24380,0,16180
20260201_124053,pair_1,1,@alice:matrix.org,!dm_2:matrix.org,DM,2,Hybrid,0.00047599999999999997,0.34265100000000004,1.371645,0.274095262,0.255876792,0.127956178,1.714772,1.371645,6.377235999999999,0.255876792,Desktop,x86_64,8,3092,Paranoid,20,6253,2336,46720,22927964,45966546,21,20,20,2684,110,2573,2336,498,1227,46720,9960,24540,22927964,53864,22927964,64,32,2238,350,308,1219,0,809,6160,24380,0,16180
20260201_124053,pair_1,1,@alice:matrix.org,!dm_3:matrix.org,DM,2,Hybrid,0.000363,0.351321,1.344301,0.24991164,0.233567008,0.126691428,1.6959849999999999,1.344301,5.311710999999999,0.233567008,Desktop,x86_64,8,2886,Paranoid,20,6252,2336,46720,22927964,45966544,21,20,20,2684,110,2573,2336,498,1227,46720,9960,24540,22927964,53865,22927964,64,32,2238,350,308,1219,0,809,6160,24380,0,16180
20260201_124053,pair_1,1,@alice:matrix.org,!dm_4:matrix.org,DM,2,Hybrid,0.000344,0.340349,1.327601,0.250489116,0.230286318,0.125235552,1.668294,1.327601,5.080199,0.230286318,Desktop,x86_64,8,3703,Paranoid,20,6251,2336,46720,22927964,45966542,21,20,20,2684,110,2573,2336,498,1227,46720,9960,24540,22927964,53864,22927964,64,32,2238,350,308,1219,0,809,6160,24380,0,16180
20260201_124053,pair_1,1,@alice:matrix.org,!dm_5:matrix.org,DM,2,Hybrid,0.00042500000000000003,0.339253,1.362911,0.245388958,0.227228988,0.122650932,1.7025890000000001,1.362911,5.095822999999999,0.227228988,Desktop,x86_64,8,554,Paranoid,20,6254,2336,46720,22927964,45966548,21,20,20,2684,110,2573,2336,498,1227,46720,9960,24540,22927964,53865,22927964,64,32,2238,350,308,1219,0,809,6160,24380,0,16180
20260201_124053,pair_1,1,@alice:matrix.org,!small_1:matrix.org,SmallGroup,7,Hybrid,0.000365,1.147699,7.6523010000000005,0.28883911333333334,0.24952859066666666,0.13729575333333333,8.800365000000001,7.6523010000000005,35.075829,0.24952859066666666,Desktop,x86_64,8,400,Paranoid,30,37516,14016,420480,37232564,75409152,186,180,180,16104,662,15441,14016,2988,7362,420480,89640,220860,37232564,463350,37232564,384,192,13428,2100,1848,7314,0,4854,55440,219420,0,145620
20260201_124053,pair_1,1,@alice:matrix.org,!small_2:matrix.org,SmallGroup,7,Hybrid,0.00039499999999999995,1.126591,7.673432,0.29939879599999997,0.2552663786666667,0.13655772533333332,8.800418,7.673432,36.980163999999995,0.2552663786666667,Desktop,x86_64,8,400,Paranoid,30,37512,14016,420480,37232564,75409144,186,180,180,16104,662,15441,14016,2988,7362,420480,89640,220860,37232564,463350,37232564,384,192,13428,2100,1848,7314,0,4854,55440,219420,0,145620
20260201_124053,pair_1,1,@alice:matrix.org,!small_3:matrix.org,SmallGroup,7,Hybrid,0.00035,1.154789,7.704143999999999,0.2925017133333333,0.24269532666666668,0.13001321733333332,8.859283,7.704143999999999,35.18253299999999,0.24269532666666668,Desktop,x86_64,8,1266,Paranoid,30,37510,14016,420480,37232564,75409140,186,180,180,16104,662,15441,14016,2988,7362,420480,89640,220860,37232564,463350,37232564,384,192,13428,2100,1848,7314,0,4854,55440,219420,0,145620
20260201_124053,pair_1,1,@alice:matrix.org,!medium_1:matrix.org,MediumGroup,25,Hybrid,0.000308,4.001755,30.508831999999998,1.373235982,1.143449985,0.520965285,34.510895,30.508831999999998,187.68207800000008,1.143449985,Desktop,x86_64,8,400,Paranoid,40,150074,56064,2242560,243130816,491159028,984,960,960,64418,2649,61768,56064,11952,29448,2242560,478080,1177920,243130816,2414040,243130816,1536,768,53712,8402,7392,29256,0,19416,295680,1170240,0,776640
20260201_124053,pair_1,1,@alice:matrix.org,!medium_2:matrix.org,MediumGroup,25,Hybrid,0.00031,3.956846,29.726288999999998,1.34791144,1.215243888,0.607710116,33.683445,29.726288999999998,184.32005600000008,1.215243888,Desktop,x86_64,8,400,Paranoid,40,150076,56064,2242560,243130816,491159032,984,960,960,64418,2649,61768,56064,11952,29448,2242560,478080,1177920,243130816,2414040,243130816,1536,768,53712,8402,7392,29256,0,19416,295680,1170240,0,776640
20260201_124053,pair_1,1,@alice:matrix.org,!large:matrix.org,LargeChannel,150,Hybrid,0.00039499999999999995,24.068549,185.477471,2.6281144368000002,1.6371099439999999,0.7040208312,209.54641500000002,185.477471,1393.8386520000026,1.6371099439999999,Desktop,x86_64,8,400,Paranoid,50,931692,348064,17403200,430506492,898378896,7599,7450,7450,399930,16449,383480,348064,74202,182823,17403200,3710100,9141150,430506492,18467805,430506492,9536,4768,333462,52164,45892,181631,0,120541,2294600,9081550,0,6027050
20260201_124053,pair_1,0,@alice:matrix.org,!dm_1:matrix.org,DM,2,Classical,0.000325,0.06845,0.415061,0.262169208,0.22898292,0.11675471,0.48383600000000004,0.415061,2.69969,0.22898292,Desktop,x86_64,8,604,Paranoid,20,96,664,13280,22927964,45884008,0,0,20,110,110,0,664,664,0,13280,13280,0,22927964,14040,22927964,64,32,0,14,308,0,0,0,6160,0,0,0
